"","address1","lon","lat"
"304","76 CLINTON ST 10002",-73.985024,40.7188944
"305","2175 RALPH AVENUE 11234",-73.9168114,40.6264799
"306","9912 NORTHERN BOULEVARD 11368",-73.8689604,40.7570621
"307","2028 BATH AVENUE 11214",-74.0009068,40.6006803
"308","3351 BROADWAY 10031",-73.955151,40.820755
"309","99 2ND AVE 10003",-73.988978,40.727377
"310","0 34 STREET 10001",-73.98449,40.7484051
"311","145 WEST   53 STREET 10019",-73.9805339,40.7629624
"312","588 GRAND STREET 11211",-73.9483056,40.7109259
"313","500 E 149TH ST 10455",-73.9148528,40.8146399
"314","24 GREENWICH AVE 10011",-73.9998457,40.7349373
"315","557 MYRTLE AVE 11205",-73.96193,40.694121
"316","11 WATER ST 11201",-73.9941357,40.7034898
"317","288 3 AVENUE 11215",-73.9863454,40.6773262
"318","579 MEEKER AVE 11222",-73.9424859,40.72153
"319","22330 UNION TPKE 11364",-73.7472673,40.7355881
"320","1590 LEXINGTON AVE 10029",-73.9487355,40.7892848
"321","746 LYDIG AVENUE 10462",-73.8660308,40.8542516
"322","18501 UNION TPKE 11366",-73.7837491,40.7285569
"323","770 MANOR RD 10314",-74.1219048,40.6085365
"324","0 & GRAND CENTRAL 10017",24.5022981,44.200797
"325","111 FRONT STREET 11201",-73.9891745,40.7026637
"326","0 PENN STATION 10001",-73.995159,40.752156
"327","17 CLEVELAND PLACE 10012",-73.9971159,40.7215425
"328","944 8 AVENUE 10019",-73.9831765,40.7657608
"329","768 57TH ST 11220",-74.0085243,40.6373296
"330","21297 26 AVENUE 11360",-73.7767733,40.7787528
"331","3619 REVIEW AVENUE 11101",-73.9374065,40.7340711
"332","16210 JAMAICA AVENUE 11432",-73.7972029,40.7040679
"333","8340 PARSONS BOULEVARD 11432",-73.8077421,40.7145797
"334","2256 31ST ST 11105",-73.9122646,40.7752615
"335","22318 S CONDUIT AVE 11413",-73.7541347,40.665348
"336","126 LINCOLN AVENUE 10306",-74.1083866,40.5790033
"337","15814 CROSSBAY BLVD 11414",-73.840514,40.6602485
"338","15812 CROSSBAY BOULEVARD 11414",-73.8406239,40.6603079
"339","813 AVENUE U 11223",-73.9625761,40.5983447
"340","1854 WESTCHESTER AVE 10472",-73.8639239,40.8325738
"341","11510 ROCKAWAY BEACH BOULEVARD 11694",-73.8367371,40.580119
"342","2212 FLATBUSH AVENUE 11234",-73.929887,40.615973
"343","554 5 AVENUE 10036",-73.9795485,40.7558818
"344","701 8TH AVE 10036",-73.9890822,40.7587725
"345","1475 86 STREET 11228",-74.0093217,40.6120264
"346","211 WYCKOFF AVENUE 11237",-73.9157924,40.7023898
"347","1437 150TH ST 11357",-73.8118421,40.790177
"348","2093 NOSTRAND AVE 11210",-73.9475887,40.6345039
"349","201 EAST   61 STREET 10065",-73.9652616,40.7627679
"350","24808 UNION TURNPIKE 11426",-73.7215419,40.7424357
"351","3477 BROADWAY 10031",-73.952249,40.8244916
"352","536 EAST    5 STREET 10009",-73.982949,40.723998
"353","8770 PARSONS BLVD 11432",-73.8039887,40.7089016
"354","69 FEATHERBED LANE 10452",-73.9173619,40.846629
"355","113 WEST  116 STREET 10026",-73.950318,40.8025045
"356","432 PARK AVE S 10016",-73.9836641,40.7442987
"357","875 FLATBUSH AVENUE 11226",-73.9586037,40.6507758
"358","575 2ND AVE 10016",-73.9773145,40.7433518
"359","751 DRAKE STREET 10474",-73.883495,40.816652
"360","1404 3 AVENUE 10075",-73.9571449,40.7749007
"361","1351 FOREST AVE 10302",-74.1355321,40.6262426
"362","199 PRINCE STREET 10012",-74.0027222,40.7268432
"363","281 E 161 ST 10451",-73.9177536,40.8256559
"364","3448 JUNCTION BOULEVARD 11372",-73.8722438,40.7535827
"365","306 GOLD ST 11201",-73.9835069,40.695024
"366","5902 7TH AVE 11220",-74.011476,40.637445
"367","635 VANDERBILT AVE 11238",-73.9684593,40.6780124
"368","41 WEST   14 STREET 10011",-73.9955805,40.7370866
"369","1455 ST NICHOLAS AVENUE 10033",-73.9333952,40.8504554
"370","2880 BROADWAY 10025",-73.965225,40.805478
"371","124 OCEAN AVENUE 10305",-74.0631079,40.5953032
"372","146 EAST   84 STREET 10028",-73.9562538,40.7777994
"373","35 BROADWAY 11249",-73.9673448,40.7109247
"374","21 EAST  170 STREET 10452",-73.9168424,40.8401362
"375","50 WYCKOFF AVENUE 11237",-73.9216859,40.705535
"376","26 SAINT MARKS PLACE 10003",-73.9887127,40.7287968
"377","9701 57 AVENUE 11368",-73.8639468,40.7373421
"378","1028 NOSTRAND AVE 11225",-73.9511136,40.6634165
"379","2585 BROADWAY 10025",-73.9714145,40.7956614
"380","421 W 202ND ST 10034",-73.9201719,40.8611491
"381","1907 KINGS HIGHWAY 11229",-73.9544815,40.610555
"382","38 CARMINE ST 10014",-74.0031609,40.729929
"383","4685 MANHATTAN COLLEGE PKWY 10471",-73.898267,40.891057
"384","5646 RIVERDALE AVE 10471",-73.9041884,40.9056123
"385","6447 108TH ST 11375",-73.8486342,40.7318497
"386","27111 UNION TPKE 11040",-73.7030435,40.7521557
"387","134 WEST BROADWAY 10013",-74.0084004,40.7169099
"388","574 6 AVENUE 10011",-73.9955194,40.7386926
"389","609 SUTTER AVENUE 11207",-73.8965418,40.6693439
"390","6145 188 STREET 11365",-73.7856486,40.7395806
"391","2805 AVENUE U 11229",-73.9436129,40.6004494
"392","2412 3RD AVE 10454",-73.930394,40.808318
"393","244 MADISON AVENUE 10016",-73.9814975,40.7502162
"394","513 WEST  145 STREET 10031",-73.948381,40.825871
"395","123 COURT ST 11201",-73.9919151,40.6900491
"396","4617 5TH AVE 11220",-74.0081826,40.6469084
"397","8311 BROADWAY 11373",-73.8794014,40.7410275
"398","255 WEST   55 STREET 10019",-73.9832642,40.7653805
"399","249 WEST   26 STREET 10001",-73.9963114,40.7470964
"400","80 MONTAGUE STREET 11201",-73.9962586,40.6951553
"401","35 ORCHARD STREET 10002",-73.9916861,40.7157559
"402","381 5TH AVE 11215",-73.9846437,40.6707851
"403","110 WEST   51 STREET 10019",-73.9808907,40.7607188
"404","733 KNICKERBOCKER AVENUE 11221",-73.9095423,40.6940479
"405","2641 BAINBRIDGE AVE 10458",-73.8919498,40.8646958
"406","1832 WESTCHESTER AVENUE 10472",-73.8648724,40.8320394
"407","339 9 STREET 11215",-73.9850555,40.6688572
"408","15 WEST    8 STREET 10011",-73.9971672,40.7328969
"409","1242 NOSTRAND AVENUE 11225",-73.9504676,40.6567437
"410","57 WEST   58 STREET 10019",-73.9761967,40.7649625
"411","1642 LEXINGTON AVE 10029",-73.947574,40.790915
"412","802 CATON AVENUE 11218",-73.9726892,40.6475919
"413","1018 BERGEN ST 11216",-73.952563,40.6760727
"414","212 WEST   79 STREET 10024",-73.9791522,40.7832239
"415","3750 74TH ST 11372",-73.8918625,40.7475702
"416","4326 AMBOY ROAD 10312",-74.1595162,40.5458968
"417","50 W. 23rd Street 10010",-73.9918194,40.7420475
"418","625 8 AVENUE 10018",-73.990494,40.7569545
"419","648 SOUNDVIEW AVE 10473",-73.8625945,40.8184307
"420","3714 MAIN ST 11354",-73.831335,40.760936
"421","4128 MAIN ST 11355",-73.829437,40.757178
